x,y,yaw,ref_v
-33.22525686,68.05215063,2.925005637,3.196430364
-33.35070551,68.07975416,2.925005637,3.187422912
-33.47643358,68.10572802,2.937870971,3.178050909
-33.60228363,68.13003551,2.950795624,3.169345788
-33.72809741,68.15264808,2.963760823,3.161621832
-33.94352113,68.18745846,2.981387184,3.155155637
-34.20380282,68.22297007,3.005994595,3.148759496
-34.46408451,68.2513605,3.032946391,3.142111371
-34.72436619,68.2726609,3.059938656,3.135114312
-34.98464789,68.28688495,3.086998259,3.127549046
-35.24492958,68.29402818,3.114155336,3.119374461
-35.50521127,68.294068,3.141439665,3.111005528
-35.76549296,68.28696508,-3.114310068,3.103037726
-36.02577464,68.27266591,-3.086710556,3.09584712
-36.28605633,68.25110354,-3.058938928,3.089613975
-36.54633803,68.22219778,-3.030990204,3.084337668
-36.80661972,68.18585431,-3.002858339,3.079849655
-36.95532159,68.16171058,-2.980633952,3.074552288
-37.08186778,68.13920472,-2.965585867,3.069750399
-37.20842789,68.11487487,-2.951670197,3.065751086
-37.33482951,68.0887383,-2.937692166,3.062534309
-37.46055863,68.06089994,-2.923692719,3.060185178
-37.58621,68.03122502,-2.909673454,3.058798419
-37.71220754,67.99958748,-2.89558227,3.05835422
-37.9183148,67.94371729,-2.87688065,3.061729838
-38.13923981,67.87807532,-2.852777104,3.066439622
-38.35402247,67.80845025,-2.828115948,3.071524242
-38.54374047,67.742099,-2.805152868,3.076194233
-38.73202369,67.67166054,-2.783603334,3.08141046
-38.88463825,67.61115038,-2.764115701,3.085791203
-39.00282441,67.56215382,-2.748588525,3.089195829
-39.12093921,67.51129308,-2.73498468,3.093158675
-39.23881804,67.45861866,-2.721359445,3.097623044
-39.35629664,67.40419083,-2.707733746,3.102550041
-39.48121433,67.34416656,-2.693657801,3.108413759
-39.64490134,67.26209596,-2.676835735,3.117418046
-39.80681696,67.17703098,-2.657858693,3.126861
-39.96680028,67.08910358,-2.639053867,3.136683248
-40.12469661,66.99845447,-2.620431087,3.146882916
-40.28035906,66.90523356,-2.602007593,3.157555241
-40.43364992,66.80959991,-2.58380594,3.168835505
-40.5875048,66.70969457,-2.565676008,3.180992699
-40.74047102,66.60637557,-2.547543052,3.193819592
-40.84731347,66.5317968,-2.532193002,3.202918865
-41.03459532,66.39612373,-2.51465646,3.220269458
-41.23673848,66.2424154,-2.49147289,3.239358525
-41.37989349,66.12884573,-2.47092985,3.253187808
-41.49361483,66.03574476,-2.455567042,3.264601388
-41.6059475,65.94120223,-2.441977972,3.276615876
-41.71677971,65.84534977,-2.428544312,3.289258179
-41.82600869,65.74832414,-2.415292005,3.302496054
-41.94208745,65.64236109,-2.401720742,3.317425221
-42.09862395,65.49467597,-2.385281458,3.339200409
-42.25247963,65.34401095,-2.366671752,3.36150239
-42.40360137,65.19051084,-2.348387015,3.384039206
-42.55193758,65.03431766,-2.330399846,3.406535915
-42.69743743,64.87557006,-2.312679292,3.429070742
-42.84005877,64.71441095,-2.295246484,3.451886175
-42.97977206,64.55099028,-2.278145767,3.475096035
-43.05795886,64.45705851,-2.264970915,3.488663547
-43.13534788,64.36227829,-2.255523741,3.50285784
-43.23382913,64.23900402,-2.244853477,3.522083385
-43.33089664,64.11452212,-2.233080909,3.541934261
-43.42649438,63.98896183,-2.221534074,3.562240146
-43.53154116,63.84750104,-2.209535494,3.585273317
-43.6455139,63.68975193,-2.196459765,3.610917741
-43.757248,63.53063284,-2.18300009,3.636740462
-43.86671784,63.37028663,-2.169823277,3.662840921
-43.96080896,63.22882817,-2.15774831,3.686136735
-44.02815432,63.12545549,-2.148212183,3.703456545
-44.09578386,63.0198184,-2.140255913,3.721571756
-44.18779363,62.87309226,-2.130893575,3.747734955
-44.30203087,62.68601544,-2.119005185,3.781939526
-44.4227069,62.48235347,-2.105705818,3.819352394
-44.53516096,62.28680093,-2.092674198,3.855138789
-44.63463827,62.1090122,-2.080923281,3.887544653
-44.73221892,61.93006921,-2.070037022,3.920233814
-44.82791575,61.7500748,-2.059454333,3.953532384
-44.89971944,61.61204113,-2.050464882,3.979468997
-44.95811861,61.49786333,-2.043582333,4.001331167
-45.01697609,61.38103567,-2.037477312,4.024122734
-45.07573387,61.26264016,-2.031466582,4.047409551
-45.18358904,61.04061625,-2.023004816,4.092822954
-45.28913871,60.81758373,-2.012814101,4.138722374
-45.39252375,60.59360415,-2.003240353,4.184995847
-45.44571508,60.4762503,-1.996354633,4.209245132
-45.50369344,60.3466659,-1.991500773,4.236390234
-45.58406921,60.16414985,-1.985618542,4.275403182
-45.6631025,59.98153687,-1.979247608,4.314823199
-45.74157733,59.79721726,-1.973305563,4.354900631
-45.82207648,59.60514679,-1.967669696,4.396829505
-45.90095224,59.41413012,-1.962395966,4.438591835
-45.95623666,59.27865394,-1.958244315,4.468125615
-46.00047496,59.16931227,-1.955251417,4.491904988
-46.04501849,59.05837832,-1.952622723,4.516071522
-46.11415877,58.88452645,-1.949315339,4.55443356
-46.16000105,58.76825491,-1.946352565,4.579903946
-46.20494701,58.65347642,-1.944030597,4.605029183
-46.27923925,58.46205354,-1.941006811,4.647657924
-46.35893244,58.25472162,-1.937760698,4.693956642
-46.43510978,58.05491336,-1.935037037,4.738504685
-46.49621253,57.89370871,-1.933102825,4.774226784
-46.563055,57.71650271,-1.931496177,4.813413573
-46.60125426,57.61491199,-1.930453333,4.835534279
-46.64150291,57.50759353,-1.929601504,4.858849166
-46.68274323,57.39734871,-1.928759694,4.8827333
-46.72452184,57.28539898,-1.927979965,4.906908422
-46.78293884,57.12842709,-1.927065505,4.940939351
-46.8265875,57.01093033,-1.926484599,4.966124756
-46.86952626,56.89516888,-1.925989229,4.990808742
-46.9418459,56.69976215,-1.92526241,5.032687872
-47.02005616,56.48820223,-1.924898046,5.077702641
-47.06068924,56.37827567,-1.924858125,5.100616869
-47.10194056,56.2666705,-1.924840538,5.12377343
-47.1438279,56.15334934,-1.924854162,5.147173718
-47.19465744,56.0158628,-1.924917308,5.175545772
-47.23778976,55.89923271,-1.925019253,5.199361838
-47.28029007,55.78436318,-1.925165373,5.222673327
-47.3514529,55.59221422,-1.92548616,5.261883651
-47.42854706,55.38430722,-1.925889227,5.303982174
-47.50384624,55.18157471,-1.926425857,5.344616361
-47.56980461,55.00433853,-1.92706569,5.379700556
-47.63551364,54.82818634,-1.927833645,5.414248002
